,Name,Price,Kms_driven,Fuel_type,Year,Company
291,Maruti Suzuki Baleno,610000,85000, Petrol,2017,Maruti
292,Hyundai Grand i10,495000,40000, Petrol,2016,Hyundai
293,Hyundai Verna 1.6,510000,71000, Petrol,2014,Hyundai
294,Maruti Suzuki Baleno,560000,44000, Petrol,2017,Maruti
295,Toyota Innova 2.0,455000,124000, Diesel,2009,Toyota
296,Maruti Suzuki Wagon,350000,78000, CNG,2012,Maruti
297,Renault Kwid CLIMBER,463099,44696, Petrol ,2017,Renault
298,Maruti Suzuki Alto,350599,33004, Petrol ,2018,Maruti
299,Hyundai Verna Fluidic,636299,46034, Petrol ,2016,Hyundai
300,Hyundai Grand i10,698199,60307, Petrol ,2020,Hyundai
301,Hyundai Grand i10,764199,8825, Petrol ,2021,Hyundai
302,Maruti Suzuki Celerio,524799,5743, Petrol ,2019,Maruti
303,Ford EcoSport Ambiente,420000,87000, Diesel ,2013,Ford
304,Kia Seltos GTX,1831000,19500, Petrol,2020,Kia
305,Chevrolet Beat LS,210000,60000, Petrol,2010,Chevrolet
306,Volkswagen Vento Highline,465000,70000, Petrol,2013,Volkswagen
307,Audi Q7 35,2250000,65000, Diesel,2017,Audi
308,Maruti Suzuki Ertiga,1090000,35623, Petrol,2020,Maruti
309,Toyota Innova -,375000,160000, Petrol,2005,Toyota
310,Hyundai i20 Sportz,225000,98500, Petrol,2009,Hyundai
311,Maruti Suzuki Celerio,524799,5743, Petrol ,2019,Maruti
312,Maruti Suzuki Eeco,493899,25735, Petrol ,2019,Maruti
313,Hyundai Elite i20,825299,37522, Petrol ,2019,Hyundai
314,Maruti Suzuki Wagon,495499,38955, Petrol ,2018,Maruti
315,Hyundai Eon Era,277599,65308, Petrol ,2014,Hyundai
316,Maruti Suzuki Wagon,473899,30467, Petrol ,2017,Maruti
317,Hyundai Venue S,855299,1954, Petrol ,2019,Hyundai
318,Hyundai Santro 1.1,540299,35220, Petrol ,2019,Hyundai
319,Hyundai Elite i20,642899,75876, Petrol ,2016,Hyundai
320,Maruti Suzuki Alto,442299,27020, Petrol ,2021,Maruti
321,Renault Triber 1.0,725399,13739, Petrol ,2019,Renault
322,Maruti Suzuki Wagon,558299,21544, Petrol ,2019,Maruti
323,Maruti Suzuki Alto,354299,13816, Petrol ,2016,Maruti
324,Hyundai Elite i20,673599,23817, Petrol ,2016,Hyundai
325,Hyundai Grand i10,525099,60985, Petrol ,2017,Hyundai
326,Hyundai Verna SX,525000,80000, Diesel,2012,Hyundai
327,Volkswagen Polo Comfortline,675000,30123, Petrol,2018,Volkswagen
328,Renault Kwid RXT,325000,67000, Petrol,2016,Renault
329,Renault Triber RXT,645000,26123, Petrol,2020,Renault
330,Maruti Suzuki Ertiga,785000,60123, Petrol,2017,Maruti
331,Mahindra TUV300 T8,690000,52123, Diesel,2016,Mahindra
332,Maruti Suzuki Celerio,425000,11123, Petrol,2018,Maruti
333,Hyundai Elite i20,645000,41233, Petrol,2019,Hyundai
334,Maruti Suzuki Swift,529699,50141, Petrol ,2016,Maruti
335,Maruti Suzuki Ertiga,1081899,86033, Diesel,2018,Maruti
336,Fiat Linea Dynamic,256000,30000, Petrol ,2012,Fiat
337,Honda City ZX,290000,86924, Petrol,2008,Honda
338,Volkswagen Polo GT,735000,68870, Petrol,2016,Volkswagen
339,Maruti Suzuki XL6,1244799,22292, Petrol ,2019,Maruti
340,Honda Amaze -,474399,44013, Petrol ,2014,Honda
341,Maruti Suzuki Wagon,389399,96250, Petrol ,2016,Maruti
342,Maruti Suzuki Swift,562399,59839, Petrol ,2017,Maruti
343,Hyundai Grand i10,446699,49693, Petrol ,2015,Hyundai
344,Renault Kwid RXT,439999,22223, Petrol ,2017,Renault
345,Honda Amaze -,918999,8030, Petrol ,2021,Honda
346,Volkswagen Polo -,815799,38780, Petrol ,2016,Volkswagen
347,Maruti Suzuki Vitara,896799,31919, Diesel ,2018,Maruti
348,Hyundai i10 Sportz,411399,47564, Petrol ,2015,Hyundai
349,Hyundai Grand i10,498999,42836, Petrol ,2013,Hyundai
350,Renault Kwid RXT,470000,6000, Petrol,2020,Renault
351,Tata Indica -,69000,85000, Diesel,2007,Tata
352,Mahindra TUV300 T8,925000,27000, Diesel,2018,Mahindra
353,Mahindra Scorpio LX,495000,690000, Diesel,2013,Mahindra
354,Maruti Suzuki Ertiga,1090000,35000, Petrol,2020,Maruti
355,Toyota Etios Liva,300000,135000, Diesel,2013,Toyota
356,Tata Aria Prestige,450000,115000, Diesel,2012,Tata
357,Ford Figo -,357999,50488, Petrol ,2015,Ford
358,Maruti Suzuki Ignis,462599,12916, Petrol ,2018,Maruti
359,Hyundai Elite i20,695199,30731, Petrol ,2016,Hyundai
360,Maruti Suzuki Eeco,490399,8825, Petrol ,2019,Maruti
361,Renault Kwid RxL,340099,21627, Petrol ,2016,Renault
362,Maruti Suzuki Ertiga,997899,5580, Petrol ,2020,Maruti
363,Hyundai i10 Sportz,351599,41371, Petrol ,2013,Hyundai
364,Maruti Suzuki Swift,603799,42313, Petrol ,2016,Maruti
365,Hyundai Elite i20,599799,74913, Petrol ,2016,Hyundai
366,Maruti Suzuki Wagon,456099,74760, Petrol ,2018,Maruti
367,Ford Ecosport -,993699,34045, Diesel ,2019,Ford
368,Maruti Suzuki Ritz,312299,143147, Petrol ,2010,Maruti
369,Hyundai Venue -,1221799,28149, Petrol ,2019,Hyundai
370,Maruti Suzuki Swift,522999,38049, Petrol ,2015,Maruti
371,Hyundai EON Magna,323399,78895, Petrol ,2014,Hyundai
372,Hyundai Grand i10,510799,27027, Petrol ,2015,Hyundai
373,Mahindra XUV 500,750000,66000, Diesel,2013,Mahindra
374,Hyundai Getz GLS,155000,82000, Petrol,2005,Hyundai
375,Maruti Suzuki Swift,350000,57000, Petrol,2011,Maruti
376,Honda Amaze 1.5,410000,71000, Diesel,2014,Honda
377,Hyundai Eon Era,275000,47000, CNG,2014,Hyundai
378,Hyundai Grand i10,465000,37000, Petrol,2017,Hyundai
379,Maruti Suzuki Zen,145000,73000, Petrol,2007,Maruti
380,Hyundai Getz GLS,165000,82650, Petrol,2007,Hyundai
381,Maruti Suzuki Vitara,910799,23940, Petrol ,2020,Maruti
382,Renault Captur -,722899,26678, Petrol ,2018,Renault
383,Honda WR V,809499,41342, Diesel ,2018,Honda
384,Maruti Suzuki Alto,297399,59614, Petrol ,2013,Maruti
385,Maruti Suzuki Alto,411999,39550, Petrol ,2016,Maruti
386,Renault Triber -,623399,28621, Petrol ,2019,Renault
387,Honda Brio -,372399,60437, Petrol ,2013,Honda
388,Maruti Suzuki Wagon,518099,26598, Petrol ,2018,Maruti
389,Honda Amaze -,485599,62723, Petrol ,2015,Honda
390,Maruti Suzuki Baleno,636899,21145, Petrol ,2017,Maruti
391,Hyundai Grand i10,396999,48699, Petrol ,2013,Hyundai
392,Ford Ecosport -,980399,10102, Petrol ,2019,Ford
393,Maruti Suzuki Baleno,658999,34881, Petrol ,2017,Maruti
394,Hyundai EON D,304099,53997, Petrol ,2015,Hyundai
395,Maruti Suzuki Alto,362599,49076, Petrol ,2015,Maruti
396,Maruti Suzuki Alto,344199,65951, Petrol ,2014,Maruti
397,Maruti Suzuki Swift,215000,116000, Petrol,2007,Maruti
398,Skoda Rapid 1.5,550000,136000, Diesel ,2015,Skoda
399,Renault Duster 110PS,550000,85000, Diesel,2013,Renault
400,Hyundai Santro -,89000,85000, Petrol,2002,Hyundai
401,Maruti Suzuki Alto,79000,85000, Petrol,2001,Maruti
402,Chevrolet Aveo -,67000,63000, Petrol,2007,Chevrolet
403,Ford Ikon -,59000,73000, Petrol,2009,Ford
404,Maruti Suzuki Wagon,69000,85000, Petrol,2007,Maruti
405,Maruti Suzuki Alto,462399,15032, Petrol ,2017,Maruti
406,Maruti Suzuki Alto,319999,15575, Petrol ,2017,Maruti
407,Maruti Suzuki Swift,275699,147819, Diesel ,2010,Maruti
